dealer_id,dealer_name,dealer_number,dealer_comment,dealer_address,dealer_city,dealer_state,dealer_iframe_map,zip_code,detail_url,img_from_url,local_img_url,title,year,make,model,car_price,modelNo,trim,drive_info,mpg_city,star,created_date,batch_no,historical_price,car_deal_badge,bottom_dealer_inventory_link,bottom_dealer_website_link,Mileage,Drivetrain,Exterior color,Interior color,MPG,Engine,Fuel type,Transmission,Make,Model,Year,Trim,Body type,Condition,VIN,Stock number,Fuel tank size,Combined gas mileage,City gas mileage,Highway gas mileage,Horsepower,NHTSA overall safety rating,NHTSA frontal crash rating,NHTSA side crash rating,NHTSA rollover rating,Doors,Front legroom,Back legroom,Cargo volume,Option,Bed length
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=389930420/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/07/03/13/39/2016_dodge_dart-pic-2196530042787167798-1024x768.jpeg,Uploads/single_img/2016_dodge_dart-pic-2196530042787167798-1024x768.jpeg,2016 Dodge Dart SXT FWD,2016,Dodge,Dart,"$4,995", ,SXT,FWD, ,5,2024-07-17 14:35:56,11,,,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"137,000 mi",Front-Wheel Drive,Black (Charcoal),Black,28 MPG,184 hp 2.4L I4,Gasoline,Automatic,Dodge,Dart,2016,SXT FWD,Sedan,Used,1C3CDFBB3GD727997,4723541,14 gal,28 MPG,23 MPG,35 MPG,184 hp,,,,,4 doors,42 in,35 in,13 cu ft,"Alloy Wheels, Appearance Package, Bluetooth",
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=386453226/NONE,https://static.cargurus.com/images/forsale/2024/05/19/05/10/2011_nissan_versa-pic-5890111137338486842-1024x768.jpeg,Uploads/single_img/2011_nissan_versa-pic-5890111137338486842-1024x768.jpeg,2011 Nissan Versa 1.8 S Hatchback,2011,Nissan,Versa,"$4,495", ,1.8,S, ,5,2024-07-17 14:36:13,11,,,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"130,442 mi",Front-Wheel Drive,Silver,Black (Charcoal),28 MPG,122 hp 1.8L I4,Gasoline,6-Speed Manual,Nissan,Versa,2011,1.8 S Hatchback,Hatchback,Used,3N1BC1CP3BL376229,4689381,13 gal,28 MPG,26 MPG,31 MPG,122 hp,,,,,4 doors,41 in,38 in,17 cu ft,"Bluetooth, Power Package, Steel Wheels",
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=391038092/NONE,https://cloud.iimanager.com/vdata/jewelmotors_com/4638289_x800_01.jpg,Uploads/single_img/4638289_x800_01.jpg,2010 GMC Yukon XL SLT 4WD,2010,GMC,Yukon,"$9,495", ,XL,SLT, ,5,2024-07-17 14:36:31,11,,,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"187,178 mi",Four-Wheel Drive,White,Brown (Tan),,320 hp 5.3L V8 Flex Fuel Vehicle,Flex Fuel Vehicle,Automatic,GMC,Yukon XL,2010,SLT 4WD,SUV / Crossover,Used,No VIN provided,4638289,31 gal,,,,320 hp,,,,,4 doors,41 in,39 in,45 cu ft,"Alloy Wheels, Bluetooth, Heated Seats, Leather Seats, Navigation System, Premium Package, Remote Start, Sunroof/Moonroof, Third Row Seating, Tow Package",35 in
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=375580666/NONE,https://static.cargurus.com/images/forsale/2024/06/08/08/03/2014_kia_forte-pic-4916077010358166721-1024x768.jpeg,Uploads/single_img/2014_kia_forte-pic-4916077010358166721-1024x768.jpeg,2014 Kia Forte LX,2014,Kia,Forte,"$5,995", ,LX,, ,5,2024-07-17 14:36:48,11,,,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"139,118 mi",Front-Wheel Drive,Black,Black (Charcoal),30 MPG,148 hp 1.8L I4,Gasoline,6-Speed Manual,Kia,Forte,2014,LX,Sedan,Used,KNAFK4A67E5142349,4597116,13 gal,30 MPG,25 MPG,37 MPG,148 hp,,,,,4 doors,42 in,35 in,14 cu ft,"Bluetooth, Power Mirror Package, Steel Wheels",
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=381412253/NONE,https://static.cargurus.com/images/forsale/2024/05/21/02/04/2011_acura_mdx-pic-2805028771305974916-1024x768.jpeg,Uploads/single_img/2011_acura_mdx-pic-2805028771305974916-1024x768.jpeg,2011 Acura MDX SH-AWD with Advance and Entertainment Package,2011,Acura,MDX,"$7,995", ,SH-AWD,with, ,5,2024-07-17 14:37:04,11,,,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"217,500 mi",All-Wheel Drive,Black,Black (Charcoal),18 MPG,300 hp 3.7L V6,Gasoline,Automatic,Acura,MDX,2011,SH-AWD with Advance and Entertainment Package,SUV / Crossover,Used,2HNYD2H29BH542117,4639233,21 gal,18 MPG,16 MPG,21 MPG,300 hp,,,,,4 doors,41 in,38 in,15 cu ft,"Alloy Wheels, DVD Entertainment System, Heated Seats, Leather Seats, Navigation System, Sunroof/Moonroof, Third Row Seating, Tow Package",
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=389265666/NONE,https://static.cargurus.com/images/forsale/2024/06/22/22/54/2004_gmc_yukon-pic-8938726123244931582-1024x768.jpeg,Uploads/single_img/2004_gmc_yukon-pic-8938726123244931582-1024x768.jpeg,2004 GMC Yukon SLT,2004,GMC,Yukon,"$7,995", ,SLT,, ,5,2024-07-17 14:37:21,11,,,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"142,000 mi",Rear-Wheel Drive,Black,Gray,15 MPG,5.3L V8 Flex Fuel Vehicle,Flex Fuel Vehicle,Automatic,GMC,Yukon,2004,SLT,SUV / Crossover,Used,1GKEC13Z14R302870,4581087,26 gal,14 MPG,13 MPG,17 MPG,,,,,,4 doors,41 in,38 in,,"Alloy Wheels, DVD Entertainment System, Leather Seats, Premium Package, SLT Package, Sunroof/Moonroof, Tow Package",
267082,Jewel Motors,(512) 515-1639,Test dealer comment,"Austin, TX",Austin, TX,dealer_iframe_map,78735,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545#listing=388478598/NONE,https://static.cargurus.com/images/forsale/2024/06/12/20/08/2012_ford_taurus-pic-3208600176331318379-1024x768.jpeg,Uploads/single_img/2012_ford_taurus-pic-3208600176331318379-1024x768.jpeg,2012 Ford Taurus SEL,2012,Ford,Taurus,"$5,895", ,SEL,, ,5,2024-07-17 14:37:40,11,"$6,995",,https://www.cargurus.com/Cars/m-Jewel-Motors-sp342545,https://www.cargurus.com/Cars/Link?url=http%3A%2F%2Fwww.jewelmotors.com%3Futm_source%3Dcargurus.com%26utm_medium%3Dreferral%26utm_campaign%3Dcargurus_listings&hmac=0A5433B589692894C97668F883145C44413AEA50,"106,000 mi",Front-Wheel Drive,,Brown (Tan),23 MPG,263 hp 3.5L V6,Gasoline,6-Speed Automatic,Ford,Taurus,2012,SEL,Sedan,Used,1FAHP2EW7CG112612,4711803,19 gal,22 MPG,18 MPG,28 MPG,263 hp,,,,,4 doors,41 in,38 in,20 cu ft,"Alloy Wheels, Bluetooth, Heated Seats, Leather Seats, Premium Package",
